s,a,r,sp,delay
0,308,-197,755,447
755,337,-166,1094,316
0,17,244,23,6
23,98,212,159,38
159,171,130,450,120
450,100,231,569,19
569,72,143,748,107
0,81,195,136,55
136,171,63,494,187
494,86,159,671,91
671,248,119,1050,131
1050,44,118,1094,32
0,103,163,190,87
190,102,119,423,131
423,164,121,716,129
716,313,-159,1094,309
0,100,155,195,95
195,248,-73,766,323
766,351,-277,1094,427
0,102,162,190,88
190,151,188,403,62
403,4,244,413,6
413,51,221,493,29
493,89,142,690,108
0,165,161,254,89
254,52,232,324,18
324,94,197,471,53
471,352,66,1007,184
1007,184,27,1094,123
0,185,6,429,244
429,241,-46,966,296
966,249,-156,1094,306
0,348,-79,677,329
677,169,164,932,86
932,211,-70,1094,220
0,275,-61,586,311
586,294,210,920,40
920,69,225,1014,25
1014,340,-19,1094,169
0,97,206,141,44
141,185,101,475,149
475,340,-259,1094,409
0,28,219,59,31
59,238,197,350,53
350,128,82,646,168
646,79,243,732,7
732,268,-178,1094,328
0,163,127,286,123
286,241,58,719,192
719,64,156,877,94
877,83,161,1049,89
1049,343,6,1094,144
0,102,214,138,36
138,335,8,715,242
715,325,22,1094,128
0,283,104,429,146
429,186,128,737,122
737,237,-98,1094,248
0,324,-140,714,390
714,53,219,798,31
798,196,-115,1094,265
0,283,126,407,124
407,287,-62,1006,312
1006,39,206,1089,44
1089,74,70,1094,80
0,188,85,353,165
353,52,198,457,52
457,187,125,769,125
769,83,184,918,66
918,5,246,927,4
0,209,17,442,233
442,33,225,500,25
500,172,26,896,224
896,169,11,1094,139
0,168,114,304,136
304,200,76,678,174
678,217,188,957,62
957,77,234,1050,16
1050,303,-130,1094,280
0,280,106,424,144
424,281,107,848,143
848,354,-93,1094,243
0,318,112,456,138
456,356,-173,1094,323
0,335,79,506,171
506,105,240,621,10
621,155,211,815,39
815,46,224,887,26
887,353,-185,1094,335
0,188,-5,443,255
443,142,46,789,204
789,59,236,862,14
862,210,-11,1094,161
0,105,178,177,72
177,77,177,327,73
327,215,213,579,37
579,130,186,773,64
773,181,0,1094,150
0,336,-34,620,284
620,308,-154,1094,304
0,181,58,373,192
373,156,213,566,37
566,213,35,994,215
994,186,28,1094,122
0,43,207,86,43
86,184,107,413,143
413,143,114,692,136
692,161,84,1019,166
1019,92,105,1094,45
0,269,26,493,224
493,196,182,757,68
757,33,238,802,12
802,250,-12,1094,162
0,248,125,373,125
373,261,-4,888,254
888,44,243,939,7
939,148,34,1094,116
0,61,235,76,15
76,136,98,364,152
364,75,195,494,55
494,197,94,847,156
847,284,-190,1094,340
0,116,138,228,112
228,149,131,496,119
496,23,238,531,12
531,136,145,772,105
772,291,77,1094,73
0,100,134,216,116
216,254,-48,768,298
768,100,150,968,100
968,210,-98,1094,248
0,28,237,41,13
41,287,-70,648,320
648,144,174,868,76
868,239,-60,1094,210
0,205,122,333,128
333,176,147,612,103
612,171,196,837,54
837,100,204,983,46
983,261,-87,1094,237
0,205,150,305,100
305,295,135,715,115
715,344,-69,1094,219
0,307,87,470,163
470,89,187,622,63
622,24,231,665,19
665,314,-124,1094,274
0,294,115,429,135
429,108,229,558,21
558,92,216,684,34
684,70,245,759,5
759,188,-20,1094,170
0,255,74,431,176
431,284,32,933,218
933,228,-25,1094,175
0,8,240,18,10
18,239,73,434,177
434,185,105,764,145
764,268,-72,1094,222
0,144,174,220,76
220,277,-17,764,267
764,142,134,1022,116
1022,227,-152,1094,302
0,11,243,18,7
18,280,134,414,116
414,318,-215,1094,365
0,174,181,243,69
243,177,32,638,218
638,41,215,714,35
714,111,81,994,169
994,93,99,1094,51
0,149,202,197,48
197,186,192,441,58
441,175,26,840,224
840,247,80,1094,70
0,241,-48,539,298
539,269,155,903,95
903,228,51,1094,99
0,262,-115,627,365
627,189,45,1021,205
1021,313,-159,1094,309
0,339,113,476,137
476,77,178,625,72
625,134,222,787,28
787,115,193,959,57
959,179,38,1094,112
0,93,199,144,51
144,33,214,213,36
213,280,144,599,106
599,320,168,1001,82
1001,216,-41,1094,191
0,108,175,183,75
183,191,158,466,92
466,136,63,789,187
789,217,184,1072,66
1072,293,-126,1094,276
0,95,196,149,54
149,78,198,279,52
279,167,119,577,131
577,153,168,812,82
812,99,143,1018,107
0,26,221,55,29
55,297,64,538,186
538,239,167,860,83
860,261,66,1094,84
0,275,-145,670,395
670,102,171,851,79
851,328,-224,1094,374
0,34,239,45,11
45,35,240,90,10
90,104,107,337,143
337,293,232,648,18
648,59,222,735,28
0,228,155,323,95
323,327,84,816,166
816,9,240,835,10
835,162,154,1093,96
1093,257,-122,1094,272
0,323,-131,704,381
704,199,-147,1094,297
0,313,-42,605,292
605,230,154,931,96
931,36,214,1003,36
1003,136,104,1094,46
0,46,210,86,40
86,163,109,390,141
390,287,18,909,232
909,304,55,1094,95
0,209,130,329,120
329,255,-37,871,287
871,27,227,921,23
