s,a,r,sp,delay
0,306,-144,700,394
700,124,173,901,77
901,4,247,908,3
908,164,63,1094,87
0,78,194,134,56
134,160,47,497,203
497,75,197,625,53
625,347,-160,1094,310
0,6,244,12,6
12,107,166,203,84
203,246,9,690,241
690,276,-52,1094,202
0,155,61,344,189
344,205,78,721,172
721,81,138,914,112
914,334,142,1094,8
0,261,-27,538,277
538,41,206,623,44
623,66,194,745,56
745,262,-181,1094,331
0,242,66,426,184
426,306,172,810,78
810,36,231,865,19
865,322,-36,1094,186
0,203,33,420,217
420,241,209,702,41
702,82,144,890,106
890,8,241,907,9
907,178,51,1094,99
0,21,228,43,22
43,183,179,297,71
297,25,228,344,22
344,303,-74,971,324
971,234,-175,1094,325
0,89,191,148,59
148,277,25,650,225
650,161,91,970,159
970,48,175,1093,75
1093,172,28,1094,122
0,350,-168,768,418
768,322,-10,1094,160
0,256,141,365,109
365,248,-41,904,291
904,316,-203,1094,353
0,267,50,467,200
467,358,-330,1094,480
0,281,-103,634,353
634,89,238,735,12
735,235,-3,1094,153
0,2,247,5,3
5,238,142,351,108
351,118,157,562,93
562,58,161,709,89
709,115,196,878,54
0,57,176,131,74
131,298,77,602,173
602,138,120,870,130
870,316,-95,1094,245
0,63,190,123,60
123,218,106,485,144
485,153,148,740,102
740,354,-189,1094,339
0,187,112,325,138
325,245,64,756,186
756,94,212,888,38
888,5,246,897,4
897,184,93,1094,57
0,123,110,263,140
263,63,195,381,55
381,58,222,467,28
467,241,98,860,152
860,222,-44,1094,194
0,121,81,290,169
290,20,244,316,6
316,248,-29,843,279
843,258,-20,1094,170
0,228,54,424,196
424,303,-252,1094,402
0,334,124,460,126
460,251,86,875,164
875,176,0,1094,150
0,258,37,471,213
471,76,148,649,102
649,90,226,763,24
763,32,225,820,25
820,208,-108,1094,258
0,296,-106,652,356
652,144,156,890,94
890,249,-84,1094,234
0,103,147,206,103
206,158,177,437,73
437,66,191,562,59
562,49,205,656,45
656,182,-6,1094,256
0,40,238,52,12
