Rewards: 955, total: 955
Rewards: 1279, total: 2234
Rewards: 989, total: 3223
Rewards: 1320, total: 4543
Rewards: 755, total: 5298
Rewards: 1037, total: 6335
Rewards: 789, total: 7124
Rewards: 1047, total: 8171
Rewards: 1231, total: 9402
Rewards: 1775, total: 11177
Rewards: 972, total: 12149
Rewards: 1329, total: 13478
Rewards: 1224, total: 14702
Rewards: 1142, total: 15844
Rewards: 2059, total: 17903
Rewards: 1469, total: 19372
Rewards: 1794, total: 21166
Rewards: 726, total: 21892
Rewards: 727, total: 22619
Rewards: 1026, total: 23645
Rewards: 1081, total: 24726
Rewards: 1280, total: 26006
Rewards: 950, total: 26956
Rewards: 1535, total: 28491
Rewards: 1273, total: 29764
Rewards: 1038, total: 30802
Rewards: 785, total: 31587
Rewards: 1820, total: 33407
Rewards: 1292, total: 34699
Rewards: 1000, total: 35699
Rewards: 803, total: 36502
Rewards: 1048, total: 37550
Rewards: 1775, total: 39325
Rewards: 1053, total: 40378
Rewards: 1606, total: 41984
Rewards: 1195, total: 43179
Rewards: 1057, total: 44236
Rewards: 766, total: 45002
Rewards: 1091, total: 46093
Rewards: 1998, total: 48091
Rewards: 1582, total: 49673
Rewards: 1585, total: 51258
Rewards: 1000, total: 52258
Rewards: 1251, total: 53509
Rewards: 993, total: 54502
Rewards: 1307, total: 55809
Rewards: 2043, total: 57852
Rewards: 1810, total: 59662
Rewards: 1056, total: 60718
Rewards: 1435, total: 62153
Rewards: 774, total: 62927
Rewards: 1008, total: 63935
Rewards: 1831, total: 65766
Rewards: 1446, total: 67212
Rewards: 1766, total: 68978
Rewards: 1323, total: 70301
Rewards: 810, total: 71111
Rewards: 717, total: 71828
Rewards: 1322, total: 73150
Rewards: 1488, total: 74638
Rewards: 1755, total: 76393
Rewards: 1054, total: 77447
Rewards: 1644, total: 79091
Rewards: 1081, total: 80172
Rewards: 1314, total: 81486
Rewards: 1340, total: 82826
Rewards: 1791, total: 84617
Rewards: 1023, total: 85640
Rewards: 1882, total: 87522
Rewards: 1739, total: 89261
Rewards: 2027, total: 91288
Rewards: 1047, total: 92335
Rewards: 729, total: 93064
Rewards: 975, total: 94039
Rewards: 1271, total: 95310
Rewards: 1238, total: 96548
Rewards: 782, total: 97330
Rewards: 783, total: 98113
Rewards: 1559, total: 99672
Rewards: 774, total: 100446
Rewards: 1741, total: 102187
Rewards: 966, total: 103153
Rewards: 1082, total: 104235
Rewards: 1552, total: 105787
Rewards: 1039, total: 106826
Rewards: 1598, total: 108424
Rewards: 985, total: 109409
Rewards: 1495, total: 110904
Rewards: 901, total: 111805
Rewards: 1526, total: 113331
Rewards: 2296, total: 115627
Rewards: 1042, total: 116669
Rewards: 817, total: 117486
Rewards: 1735, total: 119221
Rewards: 1804, total: 121025
Rewards: 1189, total: 122214
Rewards: 794, total: 123008
Rewards: 1025, total: 124033
Rewards: 2254, total: 126287
Rewards: 1233, total: 127520
Rewards: 1686, total: 129206
Rewards: 830, total: 130036
Rewards: 839, total: 130875
Rewards: 1425, total: 132300
Rewards: 639, total: 132939
Rewards: 1061, total: 134000
Rewards: 767, total: 134767
Rewards: 1066, total: 135833
Rewards: 1031, total: 136864
Rewards: 1253, total: 138117
Rewards: 1517, total: 139634
Rewards: 1502, total: 141136
Rewards: 950, total: 142086
Rewards: 711, total: 142797
Rewards: 1292, total: 144089
Rewards: 1911, total: 146000
Rewards: 2017, total: 148017
Rewards: 1960, total: 149977
Rewards: 1931, total: 151908
Rewards: 705, total: 152613
Rewards: 867, total: 153480
Rewards: 1500, total: 154980
Rewards: 1043, total: 156023
Rewards: 1570, total: 157593
Rewards: 1526, total: 159119
Rewards: 2398, total: 161517
Rewards: 1873, total: 163390
Rewards: 1058, total: 164448
Rewards: 1078, total: 165526
Rewards: 1239, total: 166765
Rewards: 1274, total: 168039
Rewards: 1082, total: 169121
Rewards: 1296, total: 170417
Rewards: 704, total: 171121
Rewards: 1232, total: 172353
Rewards: 816, total: 173169
Rewards: 1787, total: 174956
Rewards: 1719, total: 176675
Rewards: 1803, total: 178478
Rewards: 1486, total: 179964
