Rewards: 1245, total: 1245
Rewards: 1215, total: 2460
Rewards: 1847, total: 4307
Rewards: 1271, total: 5578
Rewards: 1755, total: 7333
Rewards: 414, total: 7747
Rewards: 1224, total: 8971
Rewards: 1310, total: 10281
Rewards: 1286, total: 11567
Rewards: 1412, total: 12979
Rewards: 1207, total: 14186
Rewards: 1309, total: 15495
Rewards: 1494, total: 16989
Rewards: 1279, total: 18268
Rewards: 1541, total: 19809
Rewards: 700, total: 20509
Rewards: 1744, total: 22253
Rewards: 1555, total: 23808
Rewards: 1035, total: 24843
Rewards: 1243, total: 26086
Rewards: 949, total: 27035
Rewards: 853, total: 27888
Rewards: 1279, total: 29167
Rewards: 973, total: 30140
Rewards: 1289, total: 31429
Rewards: 1007, total: 32436
Rewards: 1222, total: 33658
Rewards: 1983, total: 35641
Rewards: 1024, total: 36665
Rewards: 1027, total: 37692
Rewards: 1234, total: 38926
Rewards: 1289, total: 40215
Rewards: 1504, total: 41719
Rewards: 753, total: 42472
Rewards: 802, total: 43274
Rewards: 1039, total: 44313
Rewards: 1276, total: 45589
Rewards: 999, total: 46588
Rewards: 1491, total: 48079
Rewards: 1004, total: 49083
Rewards: 1237, total: 50320
Rewards: 1044, total: 51364
Rewards: 1035, total: 52399
Rewards: 1707, total: 54106
Rewards: 1532, total: 55638
Rewards: 967, total: 56605
Rewards: 1549, total: 58154
Rewards: 966, total: 59120
Rewards: 1147, total: 60267
Rewards: 706, total: 60973
Rewards: 1185, total: 62158
Rewards: 702, total: 62860
Rewards: 1311, total: 64171
Rewards: 835, total: 65006
Rewards: 1517, total: 66523
Rewards: 1466, total: 67989
Rewards: 1074, total: 69063
Rewards: 1266, total: 70329
Rewards: 1739, total: 72068
Rewards: 1244, total: 73312
Rewards: 1531, total: 74843
Rewards: 1021, total: 75864
Rewards: 1298, total: 77162
Rewards: 1815, total: 78977
Rewards: 1195, total: 80172
Rewards: 1071, total: 81243
Rewards: 1534, total: 82777
Rewards: 1014, total: 83791
Rewards: 1331, total: 85122
Rewards: 1280, total: 86402
Rewards: 1552, total: 87954
Rewards: 1205, total: 89159
Rewards: 776, total: 89935
Rewards: 1039, total: 90974
Rewards: 983, total: 91957
Rewards: 817, total: 92774
Rewards: 1192, total: 93966
Rewards: 1226, total: 95192
Rewards: 1810, total: 97002
Rewards: 1736, total: 98738
Rewards: 1304, total: 100042
Rewards: 1739, total: 101781
Rewards: 1001, total: 102782
Rewards: 1743, total: 104525
Rewards: 1711, total: 106236
Rewards: 987, total: 107223
Rewards: 1524, total: 108747
Rewards: 782, total: 109529
Rewards: 1014, total: 110543
Rewards: 1048, total: 111591
Rewards: 685, total: 112276
Rewards: 1527, total: 113803
Rewards: 1288, total: 115091
Rewards: 973, total: 116064
Rewards: 1970, total: 118034
Rewards: 1281, total: 119315
Rewards: 1235, total: 120550
Rewards: 1548, total: 122098
Rewards: 1085, total: 123183
Rewards: 768, total: 123951
Rewards: 972, total: 124923
Rewards: 986, total: 125909
Rewards: 1266, total: 127175
Rewards: 1255, total: 128430
Rewards: 796, total: 129226
Rewards: 631, total: 129857
Rewards: 2220, total: 132077
Rewards: 724, total: 132801
Rewards: 1427, total: 134228
Rewards: 1246, total: 135474
Rewards: 1138, total: 136612
Rewards: 1355, total: 137967
Rewards: 1577, total: 139544
Rewards: 716, total: 140260
Rewards: 1552, total: 141812
Rewards: 1772, total: 143584
Rewards: 1516, total: 145100
Rewards: 911, total: 146011
Rewards: 960, total: 146971
Rewards: 1483, total: 148454
Rewards: 1853, total: 150307
Rewards: 1463, total: 151770
Rewards: 1768, total: 153538
Rewards: 533, total: 154071
Rewards: 1166, total: 155237
Rewards: 1268, total: 156505
Rewards: 1495, total: 158000
Rewards: 980, total: 158980
Rewards: 730, total: 159710
Rewards: 1293, total: 161003
Rewards: 1757, total: 162760
Rewards: 1058, total: 163818
Rewards: 1340, total: 165158
Rewards: 1940, total: 167098
Rewards: 1297, total: 168395
Rewards: 742, total: 169137
Rewards: 1065, total: 170202
Rewards: 1751, total: 171953
Rewards: 1447, total: 173400
Rewards: 1009, total: 174409
Rewards: 1279, total: 175688
Rewards: 1301, total: 176989
Rewards: 1032, total: 178021
Rewards: 1461, total: 179482
Rewards: 653, total: 180135
Rewards: 773, total: 180908
Rewards: 1830, total: 182738
Rewards: 1047, total: 183785
Rewards: 1039, total: 184824
Rewards: 726, total: 185550
Rewards: 1961, total: 187511
Rewards: 1383, total: 188894
Rewards: 1524, total: 190418
Rewards: 1178, total: 191596
Rewards: 1482, total: 193078
Rewards: 1162, total: 194240
Rewards: 1564, total: 195804
Rewards: 1240, total: 197044
Rewards: 2108, total: 199152
Rewards: 992, total: 200144
Rewards: 1435, total: 201579
Rewards: 1480, total: 203059
Rewards: 1169, total: 204228
Rewards: 1151, total: 205379
Rewards: 957, total: 206336
Rewards: 1488, total: 207824
Rewards: 1496, total: 209320
Rewards: 982, total: 210302
Rewards: 1633, total: 211935
Rewards: 1898, total: 213833
Rewards: 1582, total: 215415
Rewards: 1235, total: 216650
Rewards: 1228, total: 217878
Rewards: 1137, total: 219015
Rewards: 1734, total: 220749
Rewards: 1292, total: 222041
Rewards: 2045, total: 224086
Rewards: 1131, total: 225217
Rewards: 1293, total: 226510
Rewards: 1318, total: 227828
Rewards: 2259, total: 230087
Rewards: 1427, total: 231514
Rewards: 1615, total: 233129
Rewards: 1454, total: 234583
Rewards: 1407, total: 235990
Rewards: 1251, total: 237241
Rewards: 1555, total: 238796
Rewards: 999, total: 239795
Rewards: 1043, total: 240838
Rewards: 1587, total: 242425
Rewards: 1001, total: 243426
Rewards: 1302, total: 244728
Rewards: 1645, total: 246373
Rewards: 938, total: 247311
Rewards: 2008, total: 249319
Rewards: 1668, total: 250987
Rewards: 1327, total: 252314
Rewards: 1041, total: 253355
Rewards: 928, total: 254283
Rewards: 887, total: 255170
Rewards: 1300, total: 256470
Rewards: 1464, total: 257934
Rewards: 1525, total: 259459
Rewards: 1585, total: 261044
Rewards: 1507, total: 262551
Rewards: 1275, total: 263826
Rewards: 1335, total: 265161
Rewards: 1462, total: 266623
Rewards: 756, total: 267379
Rewards: 1762, total: 269141
Rewards: 2264, total: 271405
Rewards: 988, total: 272393
Rewards: 2367, total: 274760
Rewards: 1738, total: 276498
Rewards: 1462, total: 277960
Rewards: 1232, total: 279192
Rewards: 1249, total: 280441
Rewards: 1241, total: 281682
Rewards: 1491, total: 283173
Rewards: 1483, total: 284656
Rewards: 2037, total: 286693
Rewards: 1281, total: 287974
Rewards: 1943, total: 289917
Rewards: 1653, total: 291570
Rewards: 1016, total: 292586
Rewards: 1165, total: 293751
Rewards: 1474, total: 295225
Rewards: 2276, total: 297501
Rewards: 1525, total: 299026
Rewards: 1747, total: 300773
Rewards: 1047, total: 301820
Rewards: 1028, total: 302848
Rewards: 2348, total: 305196
Rewards: 1021, total: 306217
Rewards: 1231, total: 307448
Rewards: 1206, total: 308654
Rewards: 2361, total: 311015
Rewards: 1764, total: 312779
Rewards: 1263, total: 314042
Rewards: 2178, total: 316220
Rewards: 1021, total: 317241
Rewards: 1032, total: 318273
Rewards: 1236, total: 319509
Rewards: 1436, total: 320945
Rewards: 1501, total: 322446
Rewards: 1843, total: 324289
Rewards: 1709, total: 325998
Rewards: 1734, total: 327732
Rewards: 1738, total: 329470
Rewards: 2361, total: 331831
Rewards: 1792, total: 333623
Rewards: 1628, total: 335251
Rewards: 1205, total: 336456
Rewards: 1504, total: 337960
Rewards: 2042, total: 340002
Rewards: 1308, total: 341310
Rewards: 1420, total: 342730
Rewards: 1734, total: 344464
Rewards: 1288, total: 345752
Rewards: 1178, total: 346930
Rewards: 2041, total: 348971
Rewards: 1758, total: 350729
Rewards: 2023, total: 352752
Rewards: 1283, total: 354035
Rewards: 2328, total: 356363
Rewards: 1430, total: 357793
Rewards: 1775, total: 359568
Rewards: 1217, total: 360785
Rewards: 1171, total: 361956
Rewards: 1833, total: 363789
Rewards: 964, total: 364753
Rewards: 1553, total: 366306
Rewards: 975, total: 367281
Rewards: 2003, total: 369284
Rewards: 1766, total: 371050
Rewards: 1312, total: 372362
Rewards: 1276, total: 373638
Rewards: 1291, total: 374929
Rewards: 1849, total: 376778
Rewards: 1526, total: 378304
Rewards: 1211, total: 379515
Rewards: 1512, total: 381027
Rewards: 1500, total: 382527
Rewards: 2070, total: 384597
Rewards: 1469, total: 386066
Rewards: 1451, total: 387517
Rewards: 1578, total: 389095
Rewards: 2013, total: 391108
Rewards: 1548, total: 392656
Rewards: 993, total: 393649
Rewards: 1820, total: 395469
Rewards: 1258, total: 396727
Rewards: 1975, total: 398702
Rewards: 1473, total: 400175
Rewards: 929, total: 401104
Rewards: 1948, total: 403052
Rewards: 996, total: 404048
Rewards: 2226, total: 406274
Rewards: 1501, total: 407775
Rewards: 820, total: 408595
Rewards: 1735, total: 410330
Rewards: 2218, total: 412548
Rewards: 1275, total: 413823
Rewards: 1043, total: 414866
Rewards: 1240, total: 416106
Rewards: 748, total: 416854
Rewards: 1541, total: 418395
Rewards: 1473, total: 419868
Rewards: 1287, total: 421155
Rewards: 1836, total: 422991
Rewards: 2337, total: 425328
Rewards: 1279, total: 426607
Rewards: 1235, total: 427842
Rewards: 2344, total: 430186
Rewards: 1300, total: 431486
Rewards: 1589, total: 433075
Rewards: 1468, total: 434543
Rewards: 1487, total: 436030
Rewards: 985, total: 437015
Rewards: 1454, total: 438469
Rewards: 1244, total: 439713
Rewards: 1564, total: 441277
Rewards: 2151, total: 443428
Rewards: 1953, total: 445381
Rewards: 1253, total: 446634
Rewards: 1153, total: 447787
Rewards: 1512, total: 449299
Rewards: 791, total: 450090
Rewards: 1270, total: 451360
Rewards: 1063, total: 452423
Rewards: 998, total: 453421
Rewards: 1474, total: 454895
Rewards: 1722, total: 456617
Rewards: 1517, total: 458134
Rewards: 1479, total: 459613
Rewards: 2348, total: 461961
Rewards: 1447, total: 463408
Rewards: 1111, total: 464519
Rewards: 1450, total: 465969
Rewards: 1540, total: 467509
Rewards: 1774, total: 469283
Rewards: 1250, total: 470533
Rewards: 1246, total: 471779
Rewards: 1285, total: 473064
Rewards: 1911, total: 474975
Rewards: 1758, total: 476733
Rewards: 1157, total: 477890
Rewards: 1655, total: 479545
Rewards: 1013, total: 480558
Rewards: 1876, total: 482434
Rewards: 1297, total: 483731
Rewards: 1126, total: 484857
Rewards: 1436, total: 486293
Rewards: 591, total: 486884
Rewards: 1754, total: 488638
Rewards: 1472, total: 490110
Rewards: 1003, total: 491113
Rewards: 2209, total: 493322
Rewards: 1559, total: 494881
Rewards: 1343, total: 496224
Rewards: 950, total: 497174
Rewards: 1298, total: 498472
Rewards: 1568, total: 500040
Rewards: 777, total: 500817
Rewards: 2380, total: 503197
Rewards: 988, total: 504185
Rewards: 1506, total: 505691
Rewards: 1537, total: 507228
Rewards: 1480, total: 508708
Rewards: 1712, total: 510420
Rewards: 1541, total: 511961
Rewards: 1272, total: 513233
Rewards: 1451, total: 514684
Rewards: 1235, total: 515919
Rewards: 2029, total: 517948
Rewards: 1425, total: 519373
Rewards: 1235, total: 520608
Rewards: 1115, total: 521723
Rewards: 1694, total: 523417
Rewards: 1210, total: 524627
Rewards: 1988, total: 526615
Rewards: 1215, total: 527830
Rewards: 998, total: 528828
Rewards: 2020, total: 530848
Rewards: 1029, total: 531877
Rewards: 1506, total: 533383
Rewards: 981, total: 534364
Rewards: 1967, total: 536331
Rewards: 1048, total: 537379
Rewards: 1980, total: 539359
Rewards: 1400, total: 540759
Rewards: 1260, total: 542019
