Rewards: 1579, total: 1579
Rewards: 1598, total: 3177
Rewards: 1351, total: 4528
Rewards: 1367, total: 5895
Rewards: 1309, total: 7204
Rewards: 1626, total: 8830
Rewards: 1368, total: 10198
Rewards: 1365, total: 11563
Rewards: 1083, total: 12646
Rewards: 1588, total: 14234
Rewards: 1139, total: 15373
Rewards: 1336, total: 16709
Rewards: 1127, total: 17836
Rewards: 1380, total: 19216
Rewards: 867, total: 20083
Rewards: 1851, total: 21934
Rewards: 848, total: 22782
Rewards: 1349, total: 24131
Rewards: 1368, total: 25499
Rewards: 2075, total: 27574
Rewards: 845, total: 28419
Rewards: 2111, total: 30530
Rewards: 1350, total: 31880
Rewards: 1336, total: 33216
Rewards: 1367, total: 34583
Rewards: 1363, total: 35946
Rewards: 1853, total: 37799
Rewards: 1082, total: 38881
Rewards: 1321, total: 40202
Rewards: 2109, total: 42311
Rewards: 1379, total: 43690
Rewards: 1601, total: 45291
Rewards: 1817, total: 47108
Rewards: 1360, total: 48468
Rewards: 1840, total: 50308
Rewards: 1357, total: 51665
Rewards: 1599, total: 53264
Rewards: 1078, total: 54342
Rewards: 1633, total: 55975
Rewards: 1362, total: 57337
Rewards: 1347, total: 58684
Rewards: 1331, total: 60015
Rewards: 1111, total: 61126
Rewards: 1370, total: 62496
Rewards: 1365, total: 63861
Rewards: 1613, total: 65474
Rewards: 1853, total: 67327
Rewards: 2087, total: 69414
Rewards: 1612, total: 71026
Rewards: 2112, total: 73138
Rewards: 1108, total: 74246
Rewards: 1367, total: 75613
Rewards: 1368, total: 76981
Rewards: 1366, total: 78347
Rewards: 1110, total: 79457
Rewards: 2365, total: 81822
Rewards: 1366, total: 83188
Rewards: 1863, total: 85051
Rewards: 1585, total: 86636
Rewards: 1347, total: 87983
Rewards: 1598, total: 89581
Rewards: 1624, total: 91205
Rewards: 1596, total: 92801
Rewards: 1334, total: 94135
Rewards: 1575, total: 95710
Rewards: 1360, total: 97070
Rewards: 1860, total: 98930
Rewards: 1322, total: 100252
Rewards: 1043, total: 101295
Rewards: 1621, total: 102916
Rewards: 1352, total: 104268
Rewards: 1342, total: 105610
Rewards: 1360, total: 106970
Rewards: 1084, total: 108054
Rewards: 1367, total: 109421
Rewards: 1376, total: 110797
Rewards: 1131, total: 111928
Rewards: 1358, total: 113286
Rewards: 1324, total: 114610
Rewards: 1346, total: 115956
Rewards: 1600, total: 117556
Rewards: 1612, total: 119168
Rewards: 1625, total: 120793
Rewards: 1604, total: 122397
Rewards: 1853, total: 124250
Rewards: 1112, total: 125362
Rewards: 1109, total: 126471
Rewards: 1357, total: 127828
Rewards: 1095, total: 128923
Rewards: 1123, total: 130046
Rewards: 1309, total: 131355
Rewards: 852, total: 132207
Rewards: 1349, total: 133556
Rewards: 1391, total: 134947
Rewards: 1384, total: 136331
Rewards: 1577, total: 137908
Rewards: 2460, total: 140368
Rewards: 1367, total: 141735
Rewards: 1624, total: 143359
Rewards: 1105, total: 144464
Rewards: 836, total: 145300
Rewards: 1599, total: 146899
Rewards: 1130, total: 148029
Rewards: 1354, total: 149383
Rewards: 1134, total: 150517
Rewards: 1348, total: 151865
Rewards: 1620, total: 153485
Rewards: 1106, total: 154591
Rewards: 1360, total: 155951
Rewards: 1353, total: 157304
Rewards: 1860, total: 159164
Rewards: 1372, total: 160536
Rewards: 846, total: 161382
Rewards: 1633, total: 163015
Rewards: 837, total: 163852
Rewards: 843, total: 164695
Rewards: 1097, total: 165792
Rewards: 1881, total: 167673
Rewards: 1337, total: 169010
Rewards: 1101, total: 170111
Rewards: 1581, total: 171692
Rewards: 1119, total: 172811
Rewards: 1097, total: 173908
Rewards: 1878, total: 175786
Rewards: 1618, total: 177404
Rewards: 1845, total: 179249
Rewards: 1102, total: 180351
Rewards: 1092, total: 181443
Rewards: 1366, total: 182809
Rewards: 1856, total: 184665
Rewards: 1311, total: 185976
Rewards: 1111, total: 187087
Rewards: 1860, total: 188947
Rewards: 1086, total: 190033
Rewards: 2335, total: 192368
Rewards: 1583, total: 193951
Rewards: 1608, total: 195559
Rewards: 1378, total: 196937
Rewards: 1086, total: 198023
Rewards: 1873, total: 199896
Rewards: 1363, total: 201259
Rewards: 1321, total: 202580
Rewards: 1360, total: 203940
Rewards: 864, total: 204804
Rewards: 1583, total: 206387
Rewards: 1613, total: 208000
Rewards: 1108, total: 209108
Rewards: 1352, total: 210460
Rewards: 2104, total: 212564
Rewards: 1860, total: 214424
Rewards: 1363, total: 215787
Rewards: 2459, total: 218246
Rewards: 1584, total: 219830
Rewards: 1115, total: 220945
Rewards: 1855, total: 222800
Rewards: 2112, total: 224912
Rewards: 1585, total: 226497
Rewards: 1609, total: 228106
