Rewards: 410, total: 410
Rewards: 387, total: 797
Rewards: 22, total: 819
Rewards: 196, total: 1015
Rewards: 286, total: 1301
Rewards: -204, total: 1097
Rewards: 221, total: 1318
Rewards: 286, total: 1604
Rewards: 1189, total: 2793
Rewards: 378, total: 3171
Rewards: 186, total: 3357
Rewards: 356, total: 3713
Rewards: 589, total: 4302
Rewards: 403, total: 4705
Rewards: 556, total: 5261
Rewards: 529, total: 5790
Rewards: -92, total: 5698
Rewards: 475, total: 6173
Rewards: -107, total: 6066
Rewards: -66, total: 6000
Rewards: 231, total: 6231
Rewards: 216, total: 6447
Rewards: 690, total: 7137
Rewards: -43, total: 7094
Rewards: 482, total: 7576
Rewards: 788, total: 8364
Rewards: 415, total: 8779
Rewards: 74, total: 8853
Rewards: 660, total: 9513
Rewards: 137, total: 9650
Rewards: 596, total: 10246
Rewards: 1689, total: 11935
Rewards: 117, total: 12052
Rewards: 193, total: 12245
Rewards: 52, total: 12297
Rewards: -241, total: 12056
Rewards: 377, total: 12433
Rewards: 401, total: 12834
Rewards: 1053, total: 13887
Rewards: 332, total: 14219
Rewards: 610, total: 14829
Rewards: 517, total: 15346
Rewards: -5, total: 15341
Rewards: 119, total: 15460
Rewards: 545, total: 16005
Rewards: 364, total: 16369
Rewards: -261, total: 16108
Rewards: 119, total: 16227
Rewards: -75, total: 16152
Rewards: 589, total: 16741
Rewards: 14, total: 16755
Rewards: 478, total: 17233
Rewards: 27, total: 17260
Rewards: 626, total: 17886
Rewards: 110, total: 17996
Rewards: 302, total: 18298
Rewards: 333, total: 18631
Rewards: 153, total: 18784
Rewards: 185, total: 18969
Rewards: 914, total: 19883
Rewards: -211, total: 19672
Rewards: 312, total: 19984
Rewards: 838, total: 20822
Rewards: 357, total: 21179
Rewards: 822, total: 22001
Rewards: 538, total: 22539
Rewards: 11, total: 22550
Rewards: -36, total: 22514
Rewards: 21, total: 22535
Rewards: -159, total: 22376
Rewards: 177, total: 22553
Rewards: 722, total: 23275
Rewards: 668, total: 23943
Rewards: 805, total: 24748
Rewards: 702, total: 25450
Rewards: 132, total: 25582
Rewards: 424, total: 26006
Rewards: 1302, total: 27308
Rewards: 392, total: 27700
Rewards: -63, total: 27637
Rewards: 493, total: 28130
Rewards: 179, total: 28309
Rewards: 621, total: 28930
Rewards: 137, total: 29067
Rewards: 1096, total: 30163
Rewards: 265, total: 30428
Rewards: -125, total: 30303
Rewards: 662, total: 30965
Rewards: 229, total: 31194
Rewards: 52, total: 31246
Rewards: 336, total: 31582
Rewards: 427, total: 32009
