Rewards: 381, total: 381
Rewards: 839, total: 1220
Rewards: -313, total: 907
Rewards: 409, total: 1316
Rewards: 313, total: 1629
Rewards: 333, total: 1962
Rewards: -200, total: 1762
Rewards: 140, total: 1902
Rewards: 580, total: 2482
Rewards: 24, total: 2506
Rewards: 524, total: 3030
Rewards: 587, total: 3617
Rewards: 487, total: 4104
Rewards: 358, total: 4462
Rewards: 824, total: 5286
Rewards: 899, total: 6185
Rewards: 379, total: 6564
Rewards: -407, total: 6157
Rewards: 724, total: 6881
Rewards: 923, total: 7804
Rewards: 443, total: 8247
Rewards: 1146, total: 9393
Rewards: 13, total: 9406
Rewards: 407, total: 9813
Rewards: 479, total: 10292
Rewards: 318, total: 10610
Rewards: 880, total: 11490
Rewards: 466, total: 11956
Rewards: 87, total: 12043
Rewards: 612, total: 12655
Rewards: 1067, total: 13722
Rewards: 1003, total: 14725
Rewards: 352, total: 15077
Rewards: 370, total: 15447
Rewards: 836, total: 16283
Rewards: 998, total: 17281
Rewards: 754, total: 18035
Rewards: 848, total: 18883
Rewards: 940, total: 19823
Rewards: -72, total: 19751
Rewards: 1041, total: 20792
Rewards: 897, total: 21689
Rewards: 938, total: 22627
Rewards: 1067, total: 23694
Rewards: 1214, total: 24908
Rewards: 281, total: 25189
Rewards: 738, total: 25927
Rewards: 377, total: 26304
Rewards: 205, total: 26509
Rewards: 1076, total: 27585
Rewards: 951, total: 28536
Rewards: 1131, total: 29667
Rewards: 1127, total: 30794
Rewards: 1176, total: 31970
Rewards: 568, total: 32538
Rewards: 1213, total: 33751
Rewards: 152, total: 33903
Rewards: 205, total: 34108
Rewards: 678, total: 34786
Rewards: 1179, total: 35965
Rewards: 718, total: 36683
Rewards: 1143, total: 37826
Rewards: 1109, total: 38935
Rewards: 804, total: 39739
Rewards: 1207, total: 40946
Rewards: 1052, total: 41998
Rewards: 818, total: 42816
Rewards: 918, total: 43734
Rewards: 696, total: 44430
Rewards: 1213, total: 45643
Rewards: 1194, total: 46837
Rewards: 1088, total: 47925
Rewards: 987, total: 48912
Rewards: 1162, total: 50074
Rewards: 980, total: 51054
Rewards: 1175, total: 52229
Rewards: 954, total: 53183
Rewards: 831, total: 54014
Rewards: 1032, total: 55046
Rewards: 1059, total: 56105
Rewards: 1064, total: 57169
Rewards: 1132, total: 58301
Rewards: 1206, total: 59507
Rewards: 1183, total: 60690
Rewards: 1020, total: 61710
Rewards: 1201, total: 62911
Rewards: 1214, total: 64125
Rewards: 1163, total: 65288
Rewards: 1220, total: 66508
Rewards: 907, total: 67415
Rewards: 1199, total: 68614
Rewards: 1125, total: 69739
Rewards: 875, total: 70614
Rewards: 1201, total: 71815
Rewards: 1175, total: 72990
Rewards: 1159, total: 74149
Rewards: 1196, total: 75345
Rewards: 1110, total: 76455
Rewards: 1170, total: 77625
Rewards: 1176, total: 78801
Train - Num of episodes: 100, rewards: 788.01
Rewards: 1024, total: 1024
Rewards: 1094, total: 2118
Rewards: 1114, total: 3232
Rewards: 1010, total: 4242
Rewards: 1221, total: 5463
Rewards: 1221, total: 6684
Rewards: 1210, total: 7894
Rewards: 1186, total: 9080
Rewards: 1107, total: 10187
Rewards: 1161, total: 11348
Eval - Num of episodes: 10, rewards: 1134.8
