Rewards: -373, total: -373
Rewards: 47, total: -326
Rewards: 675, total: 349
Rewards: 495, total: 844
Rewards: 708, total: 1552
Rewards: 122, total: 1674
Rewards: -64, total: 1610
Rewards: 495, total: 2105
Rewards: 925, total: 3030
Rewards: 193, total: 3223
Rewards: 381, total: 3604
Rewards: 393, total: 3997
Rewards: 388, total: 4385
Rewards: 384, total: 4769
Rewards: 31, total: 4800
Rewards: -300, total: 4500
Rewards: 735, total: 5235
Rewards: -86, total: 5149
Rewards: 872, total: 6021
Rewards: 835, total: 6856
Rewards: 435, total: 7291
Rewards: 318, total: 7609
Rewards: 963, total: 8572
Rewards: 945, total: 9517
Rewards: 758, total: 10275
Rewards: 184, total: 10459
Rewards: 15, total: 10474
Rewards: 781, total: 11255
Rewards: -226, total: 11029
Rewards: 742, total: 11771
Rewards: 1109, total: 12880
Rewards: 276, total: 13156
Rewards: 1206, total: 14362
Rewards: 790, total: 15152
Rewards: 262, total: 15414
Rewards: 1049, total: 16463
Rewards: 1061, total: 17524
Rewards: 869, total: 18393
Rewards: 1084, total: 19477
Rewards: 857, total: 20334
Rewards: 1029, total: 21363
Rewards: 860, total: 22223
Rewards: 908, total: 23131
Rewards: 1084, total: 24215
Rewards: 1188, total: 25403
Rewards: 841, total: 26244
Rewards: 1100, total: 27344
Rewards: 897, total: 28241
Rewards: 875, total: 29116
Rewards: 979, total: 30095
Rewards: 839, total: 30934
Rewards: 885, total: 31819
Rewards: 1000, total: 32819
Rewards: 961, total: 33780
Rewards: 1172, total: 34952
Rewards: 928, total: 35880
Rewards: 893, total: 36773
Rewards: 889, total: 37662
Rewards: 1011, total: 38673
Rewards: 1168, total: 39841
Rewards: 974, total: 40815
Rewards: 1054, total: 41869
Rewards: 889, total: 42758
Rewards: 507, total: 43265
Rewards: 1107, total: 44372
Rewards: 1111, total: 45483
Rewards: 1214, total: 46697
Rewards: 1084, total: 47781
Rewards: 1215, total: 48996
Rewards: 808, total: 49804
Rewards: 978, total: 50782
Rewards: 1137, total: 51919
Rewards: 1220, total: 53139
Rewards: 1196, total: 54335
Rewards: 896, total: 55231
Rewards: 1134, total: 56365
Rewards: 970, total: 57335
Rewards: 1193, total: 58528
Rewards: 998, total: 59526
Rewards: 1170, total: 60696
Rewards: 1055, total: 61751
Rewards: 1049, total: 62800
Rewards: 1226, total: 64026
Rewards: 1189, total: 65215
Rewards: 1212, total: 66427
Rewards: 858, total: 67285
Rewards: 1227, total: 68512
Rewards: 1225, total: 69737
Rewards: 1162, total: 70899
Rewards: 1165, total: 72064
Rewards: 1107, total: 73171
Rewards: 1043, total: 74214
Rewards: 962, total: 75176
Rewards: 1187, total: 76363
Rewards: 853, total: 77216
Rewards: 1191, total: 78407
Rewards: 1063, total: 79470
Rewards: 1195, total: 80665
Rewards: 988, total: 81653
Rewards: 1124, total: 82777
Train - Num of episodes: 100, rewards: 827.77
Rewards: 1051, total: 1051
Rewards: 1241, total: 2292
Rewards: 1042, total: 3334
Rewards: 1133, total: 4467
Rewards: 1010, total: 5477
Rewards: 1232, total: 6709
Rewards: 1173, total: 7882
Rewards: 1173, total: 9055
Rewards: 1223, total: 10278
Rewards: 1008, total: 11286
Eval - Num of episodes: 10, rewards: 1128.6
