Rewards: -105, total: -105
Rewards: 475, total: 370
Rewards: 387, total: 757
Rewards: 515, total: 1272
Rewards: -333, total: 939
Rewards: 256, total: 1195
Rewards: 435, total: 1630
Rewards: -93, total: 1537
Rewards: 223, total: 1760
Rewards: 728, total: 2488
Rewards: 358, total: 2846
Rewards: 930, total: 3776
Rewards: 354, total: 4130
Rewards: 447, total: 4577
Rewards: 433, total: 5010
Rewards: 45, total: 5055
Rewards: 94, total: 5149
Rewards: -283, total: 4866
Rewards: -239, total: 4627
Rewards: 189, total: 4816
Rewards: 902, total: 5718
Rewards: 870, total: 6588
Rewards: -14, total: 6574
Rewards: -15, total: 6559
Rewards: -266, total: 6293
Rewards: 439, total: 6732
Rewards: 289, total: 7021
Rewards: 910, total: 7931
Rewards: 428, total: 8359
Rewards: -164, total: 8195
Rewards: 564, total: 8759
Rewards: 656, total: 9415
Rewards: 343, total: 9758
Rewards: 453, total: 10211
Rewards: 320, total: 10531
Rewards: 587, total: 11118
Rewards: 632, total: 11750
Rewards: 52, total: 11802
Rewards: 222, total: 12024
Rewards: -154, total: 11870
Rewards: 130, total: 12000
Rewards: 576, total: 12576
Rewards: -138, total: 12438
Rewards: 272, total: 12710
Rewards: 1033, total: 13743
Rewards: 646, total: 14389
Rewards: 148, total: 14537
Rewards: -251, total: 14286
Rewards: 772, total: 15058
Rewards: 246, total: 15304
Rewards: -327, total: 14977
Rewards: 163, total: 15140
Rewards: 623, total: 15763
Rewards: 410, total: 16173
Rewards: 665, total: 16838
Rewards: 176, total: 17014
Rewards: -151, total: 16863
Rewards: 394, total: 17257
Rewards: 245, total: 17502
Rewards: 356, total: 17858
Rewards: 327, total: 18185
Rewards: 296, total: 18481
Rewards: 1064, total: 19545
Rewards: 203, total: 19748
Rewards: -201, total: 19547
Rewards: 550, total: 20097
Rewards: 326, total: 20423
Rewards: 416, total: 20839
Rewards: 2, total: 20841
Rewards: 57, total: 20898
Rewards: 518, total: 21416
Rewards: 342, total: 21758
Rewards: 930, total: 22688
Rewards: 373, total: 23061
Rewards: 445, total: 23506
Rewards: 242, total: 23748
Rewards: -182, total: 23566
Rewards: 386, total: 23952
Rewards: 183, total: 24135
Rewards: 254, total: 24389
Rewards: 372, total: 24761
Rewards: 139, total: 24900
Rewards: 317, total: 25217
Rewards: 708, total: 25925
Rewards: 287, total: 26212
Rewards: 697, total: 26909
Rewards: -235, total: 26674
Rewards: 46, total: 26720
Rewards: 605, total: 27325
Rewards: 152, total: 27477
Rewards: 301, total: 27778
Rewards: 161, total: 27939
Rewards: 246, total: 28185
Rewards: 853, total: 29038
Rewards: -245, total: 28793
Rewards: 335, total: 29128
Rewards: 563, total: 29691
Rewards: 370, total: 30061
Rewards: 475, total: 30536
Rewards: 157, total: 30693
Train - Num of episodes: 100, rewards: 306.93
Rewards: 188, total: 188
Rewards: -25, total: 163
Rewards: 231, total: 394
Rewards: 76, total: 470
Rewards: 695, total: 1165
Rewards: 537, total: 1702
Rewards: 420, total: 2122
Rewards: -64, total: 2058
Rewards: 176, total: 2234
Rewards: -15, total: 2219
Eval - Num of episodes: 10, rewards: 221.9
